feature,coef_down,coef_same,coef_up,max_abs_coef,sector_slug,feature_type,all_zero,n_nonzero_classes,var
ticker__ticker_GM,-0.1742715875828264,0.0309544860874841,0.0,0.1742715875828264,consumer_cyclical,ticker_fe,False,2,ticker__ticker_GM
num__VIX_Lag10,-0.1705195078570735,0.0,0.0248939203166606,0.1705195078570735,consumer_cyclical,numeric,False,2,VIX_Lag10
ticker__ticker_EXPE,0.0,-0.1703811882387043,0.0347152210319522,0.1703811882387043,consumer_cyclical,ticker_fe,False,2,ticker__ticker_EXPE
ticker__ticker_APTV,0.0,-0.1441191838792035,0.1509463780282244,0.1509463780282244,consumer_cyclical,ticker_fe,False,2,ticker__ticker_APTV
ticker__ticker_NKE,0.0836014438540042,0.0,-0.1431260752425549,0.1431260752425549,consumer_cyclical,ticker_fe,False,2,ticker__ticker_NKE
num__op_margin,-0.0382473481065939,0.1391319480205628,0.0,0.1391319480205628,consumer_cyclical,numeric,False,2,op_margin
ticker__ticker_LOW,0.0,0.1283896482895407,-0.1174223939000826,0.1283896482895407,consumer_cyclical,ticker_fe,False,2,ticker__ticker_LOW
ticker__ticker_MCD,0.0,0.0620232768711838,-0.1255943809223335,0.1255943809223335,consumer_cyclical,ticker_fe,False,2,ticker__ticker_MCD
num__debt_to_equity,-0.123986307255243,0.0,0.0320209950574454,0.123986307255243,consumer_cyclical,numeric,False,2,debt_to_equity
ticker__ticker_EBAY,-0.0405192998423691,0.0,0.1131380945184407,0.1131380945184407,consumer_cyclical,ticker_fe,False,2,ticker__ticker_EBAY
ticker__ticker_BKNG,-0.1110088100785958,0.0,0.0,0.1110088100785958,consumer_cyclical,ticker_fe,False,1,ticker__ticker_BKNG
ticker__ticker_BBY,0.0,-0.1034602602861337,0.0464820837272898,0.1034602602861337,consumer_cyclical,ticker_fe,False,2,ticker__ticker_BBY
ticker__ticker_F,-0.1030124232982426,0.0286527465679635,0.0,0.1030124232982426,consumer_cyclical,ticker_fe,False,2,ticker__ticker_F
ticker__ticker_HAS,0.0,-0.1007938068805221,0.0641906345199382,0.1007938068805221,consumer_cyclical,ticker_fe,False,2,ticker__ticker_HAS
num__roa,-0.0463461575686765,0.0,0.0920056023176425,0.0920056023176425,consumer_cyclical,numeric,False,2,roa
ticker__ticker_AMZN,0.0,-0.0914152063386042,0.0269480050806105,0.0914152063386042,consumer_cyclical,ticker_fe,False,2,ticker__ticker_AMZN
num__Return_Lag1,0.0876732162639251,0.0,-0.0286564616986936,0.0876732162639251,consumer_cyclical,numeric,False,2,Return_Lag1
num__Return_Lag10,0.0,-0.0846074381148276,0.0405671885920822,0.0846074381148276,consumer_cyclical,numeric,False,2,Return_Lag10
ticker__ticker_YUM,-0.0040681713174921,0.0836105779352626,0.0,0.0836105779352626,consumer_cyclical,ticker_fe,False,2,ticker__ticker_YUM
ticker__ticker_MAR,0.0,0.0672736049258933,-0.0833492168524442,0.0833492168524442,consumer_cyclical,ticker_fe,False,2,ticker__ticker_MAR
num__Sentiment_Lag1_cubic,0.0019971790481364,-0.0804471417354599,0.0,0.0804471417354599,consumer_cyclical,numeric,False,2,Sentiment_Lag1_cubic
num__revenue_growth,0.0776489561571783,-0.0125353909907829,0.0,0.0776489561571783,consumer_cyclical,numeric,False,2,revenue_growth
num__Return_Lag20,0.0,-0.0147621026549399,0.0760215552838926,0.0760215552838926,consumer_cyclical,numeric,False,2,Return_Lag20
ticker__ticker_ULTA,0.0722132863889931,0.0,0.0,0.0722132863889931,consumer_cyclical,ticker_fe,False,1,ticker__ticker_ULTA
ticker__ticker_KMX,0.0575908165995832,-0.0702321582879584,0.0,0.0702321582879584,consumer_cyclical,ticker_fe,False,2,ticker__ticker_KMX
